NAME	SIZE	ES	NES	NOM.p.val	FDR.q.val	FWER.p.val	RANK.AT.MAX	PERCENT_LEAD	PERCENT_LIST	PERCENT_SIGNAL	DIRECTION	NUM_DE
BIOCARTA_AKT_PATHWAY	20	0.6124276	1.350118	0.11992309	0.43912357	1	1031	30	5	31	1	3
BIOCARTA_AMI_PATHWAY	15	0.6257872	1.2888763	0.16904324	0.47216314	1	1833	20	8	22	1	1
BIOCARTA_ARAP_PATHWAY	16	0.65008277	1.356118	0.125	0.43217412	1	2106	31	9	34	1	1
BIOCARTA_CCR3_PATHWAY	18	-0.8035081	-1.5988939	0.019243985	0.21143058	1	1167	22	5	23	-1	3
BIOCARTA_CDMAC_PATHWAY	15	-0.75562745	-1.4534873	0.06405817	0.29508516	1	1167	33	5	35	-1	4
BIOCARTA_CHEMICAL_PATHWAY	22	-0.7215591	-1.4809259	0.04733322	0.27537867	1	499	18	2	19	-1	5
BIOCARTA_CK1_PATHWAY	15	-0.80834043	-1.5494626	0.022978576	0.236979	1	2078	33	9	37	-1	3
BIOCARTA_EIF_PATHWAY	16	-0.79252124	-1.5491701	0.03266243	0.23585896	1	1903	38	8	41	-1	4
BIOCARTA_ERK_PATHWAY	28	-0.75611126	-1.6150588	0.014950166	0.20328309	1	1167	18	5	19	-1	5
BIOCARTA_GH_PATHWAY	26	-0.7463699	-1.5784571	0.022071026	0.2202571	1	1284	27	6	28	-1	6
BIOCARTA_IGF1_PATHWAY	20	-0.7699126	-1.5482169	0.02829867	0.23623863	1	2144	25	9	28	-1	3
BIOCARTA_IL1R_PATHWAY	30	0.53787535	1.270613	0.15687303	0.48274544	1	1549	20	7	21	1	1
BIOCARTA_INSULIN_PATHWAY	20	-0.72393817	-1.4594398	0.06377979	0.29183146	1	1167	25	5	26	-1	5
BIOCARTA_INTRINSIC_PATHWAY	17	0.7351161	1.5694968	0.028158845	0.3240433	1	1833	29	8	32	1	2
BIOCARTA_MCALPAIN_PATHWAY	22	0.61666757	1.3680768	0.1048131	0.42355505	1	957	9	4	9	1	1
BIOCARTA_NGF_PATHWAY	17	-0.8527647	-1.6831014	0.005744125	0.15791897	1	1167	24	5	25	-1	3
BIOCARTA_NTHI_PATHWAY	23	0.57645607	1.3009679	0.14310052	0.4640195	1	1549	17	7	19	1	0
BIOCARTA_RACCYCD_PATHWAY	26	0.5498014	1.2582029	0.17264743	0.49761862	1	2086	31	9	34	1	3
BIOCARTA_SPPA_PATHWAY	19	-0.74170566	-1.4755787	0.05522209	0.27913594	1	2023	26	9	29	-1	3
BIOCARTA_STRESS_PATHWAY	24	0.628109	1.4261883	0.072655864	0.40788597	1	1031	17	5	17	1	1
BIOCARTA_TNFR2_PATHWAY	17	0.7124045	1.5114124	0.0455516	0.33844075	1	1031	29	5	31	1	3
BIOCARTA_TPO_PATHWAY	23	-0.7560055	-1.5642289	0.023633925	0.2291336	1	2144	22	9	24	-1	3
BIOCARTA_VEGF_PATHWAY	27	-0.74731857	-1.5831051	0.019286077	0.2158721	1	3635	44	16	53	-1	4
GO_A_BAND	27	0.5944835	1.3693867	0.094641104	0.42609057	1	3039	26	13	30	1	3
GO_ACETYLCHOLINE_BINDING	15	0.7133768	1.471226	0.051687006	0.38848737	1	1409	27	6	28	1	1
GO_ACETYLCHOLINE_RECEPTOR_ACTIVITY	19	0.639738	1.3834603	0.098460786	0.41597414	1	1409	21	6	22	1	1
GO_ACETYLTRANSFERASE_COMPLEX	90	-0.5815289	-1.4620862	0.0248519	0.28892392	1	2491	30	11	34	-1	15
