Sample ID	Bam File	Notes
020206-2	../data/rnaseq/glucose/020206-2_glucose_dedup.bam	glucose
020310	../data/rnaseq/glucose/020310_Glucose_dedup.bam	glucose
020311	../data/rnaseq/glucose/020311_Glucose_dedup.bam	glucose
021010	../data/rnaseq/glucose/021010_glucose_dedup.bam	glucose
021011	../data/rnaseq/glucose/021011_glucose_dedup.bam	glucose
021512	../data/rnaseq/glucose/021512_Glucose_dedup.bam	glucose
021611	../data/rnaseq/glucose/021611_glucose_dedup.bam	glucose
030411	../data/rnaseq/glucose/030411_Glucose_dedup.bam	glucose
032411	../data/rnaseq/glucose/032411_Glucose_dedup.bam	glucose
041212-2944	../data/rnaseq/glucose/041212-2944_glucose_dedup.bam	glucose
041212-9319	../data/rnaseq/glucose/041212-9319_glucose_dedup.bam	glucose
051211	../data/rnaseq/glucose/051211_Glucose_dedup.bam	glucose
052711-1	../data/rnaseq/glucose/052711-1_glucose_dedup.bam	glucose
052711-2	../data/rnaseq/glucose/052711-2_Glucose_dedup.bam	glucose
070810	../data/rnaseq/glucose/070810_glucose_dedup.bam	glucose
071709	../data/rnaseq/glucose/071709_glucose_dedup.bam	glucose
072910	../data/rnaseq/glucose/072910_glucose_dedup.bam	glucose
080410	../data/rnaseq/glucose/080410_glucose_dedup.bam	glucose
081209	../data/rnaseq/glucose/081209_glucose_dedup.bam	glucose
081309	../data/rnaseq/glucose/081309_glucose_dedup.bam	glucose
081508	../data/rnaseq/glucose/081508_glucose_dedup.bam	glucose
081909	../data/rnaseq/glucose/081909_Glucose_dedup.bam	glucose
082609	../data/rnaseq/glucose/082609_Glucose_dedup.bam	glucose
091109	../data/rnaseq/glucose/091109_Glucose_dedup.bam	glucose
