Gene Symbol	Gene Name
ADAM9	ADAM metallopeptidase domain 9 (meltrin gamma)
ALDH1A3	"aldehyde dehydrogenase 1 family, member A3"
ANKRD12	ankyrin repeat domain 12
APLP1	amyloid beta (A4) precursor-like protein 1
ASAH1	N-acylsphingosine amidohydrolase (acid ceramidase) 1
BDH2	"3-hydroxybutyrate dehydrogenase, type 2"
BEST1	bestrophin 1
BMP4	bone morphogenetic protein 4
C1orf108	akirin1
CDH1	"cadherin 1, type 1, E-cadherin (epithelial)"
CDO1	"cysteine dioxygenase, type I"
CHRNA3	"cholinergic receptor, nicotinic, alpha 3"
CLCN4	chloride channel 4
COL8A2	"collagen, type VIII, alpha 2"
CRIM1	cysteine rich transmembrane BMP regulator 1 (chordin-like)
CSPG5	chondroitin sulfate proteoglycan 5 (neuroglycan C)
CYP20A1	"cytochrome P450, family 20, subfamily A, polypeptide 1"
DCT	"dopachrome tautomerase (dopachrome delta-isomerase, tyrosine-related protein 2)"
DIXDC1	DIX domain containing 1
DMXL1	Dmx-like 1
DUSP4	dual specificity phosphatase 4
DZIP1	DAZ interacting protein 1
EFEMP1	EGF-containing fibulin-like extracellular matrix protein 1
EFHC1	EF-hand domain (C-terminal) containing 1
ENPP2	ectonucleotide pyrophosphatase/phosphodiesterase 2
FRZB	frizzled-related protein
GAS1	growth arrest-specific 1
GPNMB	glycoprotein (transmembrane) nmb
GPR143	G protein-coupled receptor 143
ITGAV	"integrin, alpha V (vitronectin receptor, alpha polypeptide, antigen CD51)"
ITM2B	integral membrane protein 2B
KLHL21	kelch-like 21 (Drosophila)
KLHL24	kelch-like 24 (Drosophila)
LAMP2	lysosomal-associated membrane protein 2
LGALS8	"lectin, galactoside-binding, soluble, 8"
LHX2	LIM homeobox 2
LOXL1	lysyl oxidase-like 1
MAB21L1	mab-21-like 1 (C. elegans)
MAP9	microtubule-associated protein 9
MBNL2	muscleblind-like 2 (Drosophila)
MED8	mediator complex subunit 8
MET	met proto-oncogene (hepatocyte growth factor receptor)
MFAP3L	microfibrillar-associated protein 3-like
MPDZ	multiple PDZ domain protein
MYRIP	myosin VIIA and Rab interacting protein
NAV3	neuron navigator 3; similar to neuron navigator 3
NEDD4L	"neural precursor cell expressed, developmentally down-regulated 4-like"
NRIP1	nuclear receptor interacting protein 1
NUDT4	nudix (nucleoside diphosphate linked moiety X)-type motif 4; nudix (nucleoside diphosphate linked moiety X)-type motif 4 pseudogene 1
PAK1IP1	PAK1 interacting protein 1
PITPNA	"phosphatidylinositol transfer protein, alpha"
PKNOX2	PBX/knotted 1 homeobox 2
PRNP	prion protein
PTGDS	"prostaglandin D2 synthase, hematopoietic; prostaglandin D2 synthase 21kDa (brain)"
RAB38	"RAB38, member RAS oncogene family"
RBP1	"retinol binding protein 1, cellular"
RHOBTB3	Rho-related BTB domain containing 3
RPE65	retinal pigment epithelium-specific protein 65kDa
RRAGD	Ras-related GTP binding D
SDC2	syndecan 2
SEMA3C	"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C"
SERPINF1	"serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1"
SFRP5	secreted frizzled-related protein 5
SGK3	"serum/glucocorticoid regulated kinase family, member 3"
SIL1	"SIL1 homolog, endoplasmic reticulum chaperone (S. cerevisiae)"
SILV	silver homolog (mouse)
SIX3	SIX homeobox 3
SLC16A4	"solute carrier family 16, member 4 (monocarboxylic acid transporter 5)"
SLC39A6	"solute carrier family 39 (zinc transporter), member 6"
SLC4A2	"solute carrier family 4, anion exchanger, member 2 (erythrocyte membrane protein band 3-like 1)"
SLC6A15	"solute carrier family 6 (neutral amino acid transporter), member 15"
SLC6A20	"solute carrier family 6 (proline IMINO transporter), member 20"
SMAD6	SMAD family member 6
SORBS2	sorbin and SH3 domain containing 2
SOSTDC1	sclerostin domain containing 1
SULF1	sulfatase 1
TAX1BP1	Tax1 (human T-cell leukemia virus type I) binding protein 1
TFPI2	tissue factor pathway inhibitor 2
TIMP3	TIMP metallopeptidase inhibitor 3
TRPM1	"transient receptor potential cation channel, subfamily M, member 1"
TTLL4	"tubulin tyrosine ligase-like family, member 4"
TTR	transthyretin
TYRP1	tyrosinase-related protein 1
UBL3	ubiquitin-like 3
VDP	"USO1 homolog, vesicle docking protein"
VEGFA	vascular endothelial growth factor A
WWTR1	WW domain containing transcription regulator 1
